"subtribe","genus","species"
"Caustiinae","Caustis",""
"Caustiinae","Evandra",""
"Caustiinae","Tetraria","borneensis"
"Gahniinae","Cyathochaeta",""
"Gahniinae","Gahnia",""
"Gahniinae","Mesomelaena",""
"Gahniinae","Ptilothrix",""
"Lepidospermatinae","Netrostylis","capillaris"
"Lepidospermatinae","Lepidosperma",""
"Lepidospermatinae","Machaerina",""
"Lepidospermatinae","Neesenbeckia",""
"Oreobolinae","Capeobolus",""
"Oreobolinae","Costularia",""
"Oreobolinae","Cyathocoma",""
"Oreobolinae","Oreobolus",""
"Oreobolinae","Chamaedendron",""
"Schoeninae","Schoenus",""
"Tricostulariinae","Morelotia",""
"Tricostulariinae","Xyroschoenus","hornei"
"Tricostulariinae","Tricostularia",""
"Tricostulariinae","Anthelepis",""
"Tricostulariinae","Tetraria",""
"Tricostulariinae","Ammothryon",""
"Tricostulariinae","Chaetospora",""
"Tricostulariinae","Tetrariopsis",""
"Gymnoschoeninae","Reedia",""
"Gymnoschoeninae","Gymnoschoenus",""
"","Schoenus","paludosus"