111,Holarctic,Neotropics,Tropical Asia,Pacific,Africa,Cape,New Zealand,Australia,Western Australia
Schoenus_acuminatus,0,0,0,0,0,0,0,0,1
Schoenus_adnatus,0,0,0,0,0,1,0,0,0
Schoenus_albovaginatus,0,0,0,0,0,1,0,0,0
Schoenus_andinus,0,1,0,0,0,0,0,0,0
Schoenus_antarcticus,0,1,0,0,0,0,0,0,0
Schoenus_apogon,1,0,1,0,0,0,1,1,1
Schoenus_arenicola,0,0,0,0,0,1,0,0,0
Schoenus_armeria,0,0,0,0,0,0,0,0,1
Schoenus_aureus,0,0,0,0,0,1,0,0,0
Schoenus_auritus,0,0,0,0,1,1,0,0,0
Schoenus_australis,0,0,0,0,0,1,0,0,0
Schoenus_badius,0,0,0,0,0,0,0,0,1
Schoenus_bifidus,0,0,0,0,0,0,0,0,1
Schoenus_bolusii,0,0,0,0,0,1,0,0,0
Schoenus_breviculmis,0,0,0,0,0,0,0,1,1
Schoenus_brevifolius,0,0,0,1,0,0,1,1,1
Schoenus_brevisetis,0,0,0,0,0,0,0,0,1
Schoenus_brunnescens,0,0,0,0,0,1,0,0,0
Schoenus_caespititius,0,0,0,0,0,0,0,0,1
Schoenus_calcatus,0,0,0,0,0,0,0,0,1
Schoenus_calceolus,0,0,0,0,0,1,0,0,0
Schoenus_calyptratus,0,0,0,0,0,0,0,1,0
Schoenus_calostachyus,1,0,1,1,0,0,0,1,0
Schoenus_carsei,0,0,0,0,0,0,1,1,0
Schoenus_centralis,0,0,0,0,0,0,0,1,1
Schoenus_clandestinus,0,0,0,0,0,0,0,0,1
Schoenus_compactus,0,0,0,0,0,1,0,0,0
Schoenus_compar,0,0,0,0,0,1,0,0,0
Schoenus_comparoides,0,0,0,0,0,1,0,0,0
Schoenus_complanatus,0,0,0,0,0,1,0,0,0
Schoenus_crassiculmis,0,0,0,0,0,1,0,0,0
Schoenus_crassus,0,0,0,0,0,1,0,0,0
Schoenus_cuspidatus,0,0,0,0,0,1,0,0,0
Schoenus_deformis,0,0,0,0,0,0,0,1,0
Schoenus_discifer,0,0,0,0,0,0,0,1,1
Schoenus_dregeanus,0,0,0,0,0,1,0,0,0
Schoenus_efoliatus,0,0,0,0,0,0,0,0,1
Schoenus_ericetorum,0,0,0,0,0,0,0,1,0
Schoenus_exilis,0,0,0,0,0,1,0,0,0
Schoenus_falcatus,1,0,1,0,0,0,0,1,1
Schoenus_fluitans,0,0,0,0,0,0,1,1,0
Schoenus_galpinii,0,0,0,0,0,1,0,0,0
Schoenus_gracillimus,0,0,0,0,0,1,0,0,0
Schoenus_graminifolius,0,0,0,0,0,1,0,0,0
Schoenus_griffinianus,0,0,0,0,0,0,0,0,1
Schoenus_humilis,0,0,0,0,0,0,0,0,1
Schoenus_imberbis,0,0,0,0,0,0,0,1,0
Schoenus_indutus,0,0,0,0,0,0,0,0,1
Schoenus_insolitus,0,0,0,0,0,0,0,0,1
Schoenus_kennyi,0,0,0,0,0,0,0,1,0
Schoenus_laevigatus,0,0,0,0,0,0,0,1,1
Schoenus_lanatus,0,0,0,0,0,0,0,0,1
Schoenus_latelaminatus,0,0,0,0,0,0,0,1,0
Schoenus_lepidosperma,0,0,0,0,0,0,0,1,0
Schoenus_ligulatus,0,0,0,0,0,1,0,0,0
Schoenus_limosus,0,0,0,0,1,1,0,0,0
Schoenus_loreus,0,0,0,0,0,1,0,0,0
Schoenus_lucidus,0,0,0,0,0,1,0,0,0
Schoenus_lymansmithii,0,1,0,0,0,0,0,0,0
Schoenus_maschalinus,0,0,1,1,0,0,1,1,0
Schoenus_megacarpus,0,0,0,0,0,1,0,0,0
Schoenus_melanostachys,0,0,1,0,0,0,0,1,0
Schoenus_minutulus,0,0,0,0,0,0,0,0,1
Schoenus_moorei,0,0,0,0,0,0,0,1,0
Schoenus_multiglumis,0,0,0,0,0,0,0,0,1
Schoenus_nanus,0,0,0,0,0,0,0,1,1
Schoenus_neocaledonicus,0,0,0,1,0,0,0,0,0
Schoenus_neovillosus,0,0,0,0,0,1,0,0,0
Schoenus_nitens,0,0,1,0,0,0,1,1,1
Schoenus_obtusifolius,0,0,0,0,0,0,0,0,1
Schoenus_odontocarpus,0,0,0,0,0,0,0,0,1
Schoenus_ornithopodioides,0,0,0,0,0,0,0,1,0
Schoenus_pauciflorus,0,0,0,0,0,0,1,0,0
Schoenus_pennisetis,0,0,0,0,0,0,0,0,1
Schoenus_pictus,0,0,0,0,0,1,0,0,0
Schoenus_pleiostemoneus,0,0,0,0,0,0,0,0,1
Schoenus_plumosus,0,0,0,0,0,0,0,0,1
Schoenus_pseudoloreus,0,0,0,0,0,1,0,0,0
Schoenus_pygmaeus,0,0,0,0,0,0,0,1,0
Schoenus_quadrangularis,0,0,0,0,0,1,0,0,0
Schoenus_quartziticus,0,0,0,0,0,1,0,0,0
Schoenus_racemosus,0,0,0,0,0,0,0,1,0
Schoenus_rigens,0,0,0,0,0,0,0,0,1
Schoenus_scabripes,0,0,0,0,0,0,0,1,0
Schoenus_sculptus,0,0,0,0,0,0,0,1,1
Schoenus_selinae,0,0,0,0,0,1,0,0,0
Schoenus_sesquispiculus,0,0,0,0,0,0,0,0,1
Schoenus_sparteus,0,0,1,0,0,0,0,1,0
Schoenus_subaphyllus,0,0,0,0,0,0,0,1,1
Schoenus_subbarbatus,0,0,0,0,0,0,0,0,1
Schoenus_subfascicularis,0,0,0,0,0,0,0,0,1
Schoenus_subflavus,0,0,0,0,0,0,0,0,1
Schoenus_sublateralis,0,0,0,0,0,0,0,0,1
Schoenus_sublaxus,0,0,0,0,0,0,0,0,1
Schoenus_submarginalis,0,0,0,0,0,1,0,0,0
Schoenus_submicrostachyus,0,0,0,0,0,0,0,0,1
Schoenus_tendo,0,0,0,0,0,0,1,0,0
Schoenus_tenellus,0,0,0,0,0,1,0,0,0
Schoenus_thedae,0,0,0,0,0,0,0,0,1
Schoenus_trachycarpus,0,0,0,0,0,0,0,0,1
Schoenus_triticoides,0,0,0,0,0,1,0,0,0
Schoenus_unispiculatus,0,0,0,0,0,0,0,0,1
Schoenus_vaginatus,0,0,0,0,0,0,0,1,0
Schoenus_variicellae,0,0,0,0,0,0,0,0,1
Schoenus_villosus,0,0,0,0,0,0,0,1,0
Schoenus_yarrabensis,0,0,0,0,0,0,0,1,0
Schoenus_ferrugineus,1,0,0,0,0,0,0,0,0
Schoenus_nigricans,1,1,1,0,1,1,0,0,0
Schoenus_graciliculmis,0,0,0,0,0,1,0,0,0
Schoenus_crinitus,0,0,0,0,0,1,0,0,0
Schoenus_rigidus,0,0,0,0,0,1,0,0,0
