Species,Specimen,Voucher,ETS,ITS,rbcL,rps16,trn,Total-markers
Schoenus aureus,aureus-337,TE2016_337,0,0,1,0,0,1
Schoenus auritus,auritus-193,TE2016_193,1,0,1,0,0,2
Schoenus auritus,auritus-244,TE2016_244,1,0,1,0,1,3
Schoenus auritus,auritus-245,TE2016_245,0,0,0,1,0,1
Schoenus auritus,auritus-306,TE2016_306,1,0,0,0,0,1
Schoenus auritus,auritus-307,TE2016_307,1,0,0,0,0,1
Schoenus auritus x cuspidatus,auritus-cuspidatus-198,TE2016_198,1,0,0,0,0,1
Schoenus badius,badius-B5269A,Barrett 5269A,0,1,0,0,0,1
Schoenus bifidus,bifidus-B5878,Barrett 5878,0,1,0,0,0,1
Schoenus bifidus,bifidus-H784,Hodgon 784,0,1,0,0,0,1
Schoenus bifidus,bifidus-V1249,Verboom 1249,0,0,0,1,1,2
Schoenus bolusii,bolusii-308,TE2016_308,1,0,0,0,0,1
Schoenus bolusii,bolusii-324,TE2016_324,0,0,1,0,0,1
Schoenus bolusii,bolusii-V520,Verboom 520,1,0,1,0,1,3
Schoenus bolusii,bolusii-V606,Verboom 606,1,0,1,0,1,3
Schoenus bolusii x cuspidatus,bolusii-cuspidatus-317,TE2016_317,1,0,1,1,1,4
Schoenus breviculmis,breviculmis-B5141,Barrett 5141,0,1,0,0,0,1
Schoenus breviculmis,breviculmis-B5191,Barrett 5191,0,1,0,0,0,1
Schoenus breviculmis,brevifolius-BR1861,Bruhl 1861,0,1,0,0,0,1
Schoenus breviculmis,brevifolius-G75,Gibbs 75,0,1,0,0,0,1
Schoenus brevifolius,brevifolius-KAT19875,Katsuyama 19875,0,1,0,0,0,1
Schoenus brevifolius,brevifolius-OGA0265,OGA0265,0,0,0,0,1,1
Schoenus brevisetis,brevisetis-B4337,Barrett & Moody RLB 4337,0,0,0,0,1,1
Schoenus brunnescens,brunnescens-221,TE2016_221,1,0,0,0,0,1
Schoenus brunnescens,brunnescens-322,TE2016_322,1,0,0,1,0,2
Schoenus apogon var. caespitans,caespitans-AK281020,AK281020,0,1,0,0,0,1
Schoenus apogon var. caespitans,caespitans-AK288575,AK288575,0,1,0,0,0,1
Schoenus apogon var. caespitans,caespitans-G131,Gibbs 131,0,1,0,0,0,1
Schoenus apogon var. caespitans,caespitans-G132,Gibbs 132,0,1,0,0,0,1
Schoenus caespititius,caespititius-B5608,Barrett 5608,0,1,0,0,0,1
Schoenus caespititius,caespititius-BR2104,Bruhl 2104 & Watson,0,0,0,0,1,1
Schoenus caespititius,caespititius-V1255,Verboom 1255,1,0,0,1,1,3
Schoenus calcatus,calcatus-B5414,Barrett 5414,0,1,0,0,0,1
Schoenus calceolus,calceolus-120,TE2016_120,1,0,1,0,0,2
Schoenus calceolus,calceolus-126,TE2016_126,0,0,1,0,0,1
Schoenus calostachyus,calostachyus-CANB583285,CANB583285,0,1,0,0,0,1
Schoenus calostachyus,calostachyus-G117,Gibbs 117,0,1,0,0,0,1
Schoenus calostachyus,calostachyus-MUS542,Musili 542,0,1,0,0,0,1
Schoenus carsei,carsei-AK284567,AK284567,0,1,0,0,0,1
Schoenus centralis,centralis-CANB583338,CANB583338,0,1,0,0,0,1
Schoenus clandestinus,cladestinus-B5765,Barrett 5765,0,1,0,0,0,1
Schoenus clandestinus,clandestinus-B3363,Barrett RLB 3363,0,0,0,0,1,1
Schoenus clandestinus,clandestinus-B5267,Barrett 5267,0,1,0,0,0,1
Schoenus clandestinus,clandestinus-B5283,Barrett 5283,0,1,0,0,0,1
Schoenus compactus,compactus-310,TE2016_310,1,0,1,1,0,3
Schoenus compactus,compactus-311,TE2016_311,1,0,1,1,0,3
Schoenus compactus,compactus-V614,Verboom 614,1,0,1,1,1,4
Schoenus compar,compar-232,TE2016_232,1,0,0,1,0,2
Schoenus compar,compar-352,TE2016_352,0,0,1,0,1,2
Schoenus compar,compar-362,TE2016_362,0,0,1,0,1,2
Schoenus compar,compar-V549,Verboom 549,1,0,1,0,1,3
Schoenus comparoides,comparoides-325,TE2016_325,0,0,1,0,0,1
Schoenus comparoides,comparoides-333,TE2016_333,0,0,1,0,1,2
Schoenus complanatus,complanatus-339,TE2016_339,0,0,1,0,0,1
Schoenus complanatus,complanatus-341,TE2016_341,0,0,1,0,0,1
Schoenus nitens var. concinnus,concinnus-AK256164,AK256164,0,1,0,0,0,1
Schoenus nitens var. concinnus,concinnus-AK308197,AK308197,0,1,0,0,0,1
Schoenus nitens var. concinnus,concinnus-G125,Gibbs 125,0,1,0,0,0,1
Schoenus nitens var. concinnus,concinnus-G140,Gibbs 140,0,1,0,0,0,1
Schoenus crassiculmis,crassiculmis-298,TE2016_298,1,0,0,1,0,2
Schoenus crassiculmis,crassiculmis-338,TE2016_338,0,0,1,0,0,1
Schoenus crassus,crassus-312,TE2016_312,0,0,1,0,0,1
Schoenus crassus,crassus-321,TE2016_321,1,0,0,0,0,1
Schoenus crassus,crassus-330,TE2016_330,0,0,1,0,0,1
Schoenus crassus,crassus-354,TE2016_354,0,0,1,0,0,1
Schoenus crassus,crassus-V507,Verboom 507,1,0,1,0,1,3
Schoenus curvifolius,curvifolius-B4174,Barrett 4174,0,1,0,0,0,1
Schoenus curvifolius,curvifolius-B5379,Barrett 5370,0,1,0,0,0,1
Schoenus curvifolius,curvifolius-V1240,Verboom 1240,1,0,1,1,1,4
Schoenus cuspidatus,cuspidatus-182,TE2016_182,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-198,TE2016_198,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-221,TE2016_221,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-235,TE2016_235,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-248,TE2016_248,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-253,TE2016_253,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-255,TE2016_255,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-256,TE2016_256,1,0,1,0,0,2
Schoenus cuspidatus,cuspidatus-265,TE2016_265,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-278,TE2016_278,1,0,1,0,0,2
Schoenus cuspidatus,cuspidatus-284,TE2016_284,0,0,1,1,0,2
Schoenus cuspidatus,cuspidatus-298,TE2016_298,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-303,TE2016_303,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-321,TE2016_321,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-322,TE2016_322,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-334,TE2016_334,0,0,1,0,0,1
Schoenus cuspidatus,cuspidatus-335,TE2016_335,0,0,1,0,0,1
Schoenus deformis,defomis-B5164,Barrett 5164,0,1,0,0,0,1
Schoenus discifer,discifer-B5322,Barrett 5322,0,1,0,0,0,1
Schoenus discifer,discifer-B5330,Barrett 5330,0,1,0,0,0,1
Schoenus discifer,discifer-B5346,Barrett 5346,0,1,0,0,0,1
Schoenus discifer,discifer-B5877,Barrett 5877,0,1,0,0,0,1
Schoenus dregeanus,dregeanus-204,TE2016_204,1,0,1,0,1,3
Schoenus dregeanus,dregeanus-213,TE2016_213,1,0,0,0,0,1
Schoenus efoliatus,efoliatus-B5327,Barrett 5327,0,1,0,0,0,1
Schoenus efoliatus,efoliatus-B5341,Barrett 5341,0,1,0,0,0,1
Schoenus efoliatus,efoliatus-CANB51037,CANB51037,0,1,0,0,0,1
Schoenus efoliatus,efoliatus-V1235,Verboom 1235,1,0,1,1,1,4
Schoenus ericetorum,ericetorum-G38C,Gibbs 38C,0,1,0,0,0,1
Schoenus ericetorum,ericetorum-HOD377,Hodgon 377,0,0,0,0,1,1
Schoenus ericetorum,ericetorum-KW10575,Wilson 10575,0,1,0,0,0,1
Schoenus exilis,exilis-189,TE2016_189,1,0,0,0,0,1
Schoenus exilis,exilis-192,TE2016_192,1,0,1,0,0,2
Schoenus exilis,exilis-293,TE2016_293,1,0,0,0,0,1
Schoenus exilis,exilis-V623,Verboom 623,1,0,1,0,1,3
Schoenus falcatus,falcatus-B4730,Barrett 4730,0,1,0,0,0,1
Schoenus falcatus,falcatus-B4739,Barrett RLB 4730,0,0,0,0,1,1
Schoenus ferrugineus,ferrugineus-RBGE227,RBGE227,0,1,0,0,0,1
Schoenus ferrugineus,ferrugineus-SCFESD04-190713,SCFESD04-190713,0,0,1,0,0,1
Schoenus ferrugineus,ferrugineus-SCFESD06-190713,SCFESD06-190713,0,0,1,0,0,1
Schoenus ferrugineus,ferrugineus-SCFESD08-190713,SCFESD08-190713,0,0,1,0,0,1
Schoenus ferrugineus,ferrugineus-SCFESD17-250699,SCFESD17-250699,0,0,1,0,0,1
Schoenus fluitans,fluitans-AK289622,AK289622,0,1,0,0,0,1
Schoenus galpinii,galpinii-235,TE2016_235,1,0,0,0,1,2
Schoenus graciliculmis,graciliculmis-255,TE2016_255,1,0,0,0,0,1
Schoenus gracillimus,gracillimus-206,TE2016_206,1,0,1,1,0,3
Schoenus gracillimus,gracillimus-V636,Verboom 636,1,0,1,0,1,3
Schoenus graminifolius,graminifolius-282,TE2016_282,1,0,1,1,1,4
Schoenus graminifolius,graminifolius-283,TE2016_283,1,0,1,0,0,2
Schoenus grandiflorus,grandiflorus-B3364,Barrett 3364,1,0,0,0,0,1
Schoenus grandiflorus,grandiflorus-KW8847,Wilson 8847,0,1,0,0,1,2
Schoenus griffinianus,griffinianus-B5253,Barrett 5253,0,1,0,0,0,1
Schoenus humilis,humilis-B5955,Barrett 5955,0,1,0,0,0,1
Schoenus imberbis,imberbis-MUS531B,Musili 531B,0,1,0,0,0,1
Schoenus indutus,indutus-KEI9578,Keighery 9578,0,1,0,0,0,1
Schoenus insolitus,insolitus-B5246,Barrett 5246,0,1,0,0,0,1
Schoenus kennyi,kennyi-BR2060,Bruhl 2060,0,1,0,0,0,1
Schoenus laevigatus,laevigatus-B5345,Barrett 5345,0,1,0,0,0,1
Schoenus lanatus,lanatus-B5319,Barrett 5319,0,1,0,0,0,1
Schoenus lanatus,lanatus-B5352,Barrett 5352,0,1,0,0,0,1
Schoenus latelaminatus,latelaminatus-CANB9611213,CANB9611213,0,1,0,0,0,1
Schoenus lepidosperma,lepidosperma-B5221,Barrett 5221,0,1,0,0,0,1
Schoenus lepidosperma,lepidosperma-BR2369,Bruhl 2369,0,0,0,0,1,1
Schoenus lepidosperma subsp. pachylepis,lepidosperma-G40A,Gibbs 40A,0,1,0,0,0,1
Schoenus lepidosperma,lepidosperma-G96,Gibbs 96,0,1,0,0,0,1
Schoenus ligulatus,ligulatus-115,TE2016_115,0,0,1,0,0,1
Schoenus ligulatus,ligulatus-189,TE2016_189,0,0,1,0,0,1
Schoenus ligulatus,ligulatus-195,TE2016_195,1,0,1,0,0,2
Schoenus ligulatus,ligulatus-V508,Verboom 508,0,0,1,1,1,3
Schoenus limosus,limosus-243,TE2016_243,1,0,1,0,1,3
Schoenus limosus,limosus-247,TE2016_247,1,0,1,1,0,3
Schoenus loreus,loreus-253,TE2016_253,1,0,0,0,0,1
Schoenus loreus,loreus-262,TE2016_262,1,0,0,1,0,2
Schoenus lucidus,lucidus-342,TE2016_342,0,0,1,0,0,1
Schoenus lucidus,lucidus-343,TE2016_343,0,0,1,0,0,1
Schoenus lymansmithii,lymansmithii-TREV946,Trevisan 946,0,0,0,0,1,1
Schoenus maschalinus,machalinus-AK308199,AK308199,0,1,0,0,0,1
Schoenus maschalinus,maschalinus-G135,Gibbs 135,0,1,0,0,0,1
Schoenus maschalinus,maschalinus-G95,Gibbs 95,0,1,0,0,0,1
Schoenus megacarpus,megacarpus-219,TE2016_219,0,0,1,1,0,2
Schoenus megacarpus,megacarpus-223,TE2016_223,1,0,1,1,0,3
Schoenus megacarpus,megacarpus-227,TE2016_227,0,0,1,1,1,3
Schoenus melanostachys,melanostachys-G109,Gibbs 109,0,1,0,0,0,1
Schoenus melanostachys,melanostachys-M535,Musili 535,0,1,0,0,0,1
Schoenus minutulus,minutulus-B5249,Barrett 5249,0,1,0,0,0,1
Schoenus minutulus,minutulus-B5616,Barrett 5616,0,1,0,0,0,1
Schoenus moorei,morrei-G36,Gibbs 36,0,1,0,0,0,1
Schoenus nanus,nanus-B5146,Barrett 5146,0,1,0,0,0,1
Schoenus nanus,nanus-B5167,Barrett 5167,0,1,0,0,0,1
Schoenus nanus,nanus-B5404,Barrett 5404,0,1,0,0,0,1
Schoenus nanus,nanus-B5873,Barrett 5873,0,1,0,0,0,1
Schoenus nanus,nanus-B5891,Barrett 5891,0,1,0,0,0,1
Schoenus neocaledonicus,neocaledonicus-BR3250,Bruhl 3250,1,0,0,0,1,2
Schoenus neocaledonicus,neocaledonicus-BR3263,Bruhl 3263,1,0,0,0,1,2
Schoenus neovillosus,neovillosus-207,TE2016_207,1,0,1,0,1,3
Schoenus nigricans,nigricans-230,TE2016_230,1,0,0,0,0,1
Schoenus nigricans,nigricans-BES31-2007,Besnard 31-2007,0,0,1,0,0,1
Schoenus nigricans,nigricans-De4616,DeDecker 4616,0,0,0,0,1,1
Schoenus nigricans,nigricans-E3382,Edmondson 3382,0,0,0,1,1,2
Schoenus nigricans,nigricans-Ha,Haase et al. s.n.,0,1,0,0,0,1
Schoenus nigricans,nigricans-NMW3150,NMW 3150,0,0,1,0,0,1
Schoenus nigricans,nigricans-NMW3151,NMW 3151,0,0,1,0,0,1
Schoenus nigricans,nigricans-NMW842,NMW 842,0,0,1,0,0,1
Schoenus nigricans,nigricans-S2670,Simpson 2670,0,0,0,0,1,1
Schoenus nitens var. nitens,nitens-AK254225,AK254225,0,1,0,0,0,1
Schoenus nitens var. nitens,nitens-B5156,Barrett 5156,0,1,0,0,0,1
Schoenus nitens,nitens-G133,Gibbs 133,1,1,0,0,1,3
Schoenus nitens var. nitens,nitens-G134,Gibbs 134,0,1,0,0,0,1
Schoenus obtusifolius,obtusifolius-B5348,Barrett 5348,0,1,0,0,0,1
Schoenus obtusifolius,obtusifolius-B5501,Barrett 5501,0,1,0,0,0,1
Schoenus odontocarpus,odontocarpus-B5405,Barrett 5405,0,1,0,0,0,1
Schoenus ornithopodioides,ornithopodioides-MUS539,Musili 539,0,1,0,0,0,1
Schoenus pauciflorus,pauciflorus-AK284668,AK284668,0,1,0,0,0,1
Schoenus pauciflorus,pauciflorus-AK308193,AK308193,0,1,0,0,0,1
Schoenus pauciflorus,pauciflorus-AK308194,AK308194,0,1,0,0,0,1
Schoenus pauciflorus,pauciflorus-G142,Gibbs 142,0,1,0,0,0,1
Schoenus pennisetis,pennisetis-V1237,Verboom 1237,1,0,1,1,1,4
Schoenus pictus,pictus-202,TE2016_202,1,0,1,1,0,3
Schoenus pictus,pictus-203,TE2016_203,0,0,1,1,0,2
Schoenus pictus,pictus-229,TE2016_229,1,0,1,1,1,4
Schoenus pictus,pictus-289,TE2016_289,0,0,0,0,1,1
Schoenus pictus,pictus-V524,Verboom 524,1,0,1,0,1,3
Schoenus pleiostemoneus,pleiostemoneus-B5605,Barrett 5605,0,1,0,0,0,1
Schoenus pleiostemoneus,pliostemoneus-CANB583280,CANB583280,0,1,0,0,0,1
Schoenus plumosus,plumosus-B5874,Barrett 5874,0,1,0,0,0,1
Schoenus pseudoloreus,pseudoloreus-211,TE2016_211,0,0,1,0,0,1
Schoenus pseudoloreus,pseudoloreus-290,TE2016_290,1,0,1,1,0,3
Schoenus pseudoloreus,pseudoloreus-V515,Verboom 515,1,0,1,0,1,3
Schoenus pygmaeus,pygmaeus-BU17167,Buchanan 17167,0,1,0,0,0,1
Schoenus quadrangularis,quadrangularis-196,TE2016_196,0,0,1,1,1,3
Schoenus quadrangularis,quadrangularis-356,TE2016_356,0,0,1,0,1,2
Schoenus quadrangularis,quadrangularis-387,TE2016_356,0,0,0,1,0,1
Schoenus quartziticus,quartziticus-331,TE2016_331,0,0,1,0,1,2
Schoenus quartziticus,quartziticus-332,TE2016_332,0,0,1,0,1,2
Schoenus racemosus,racemosus-B5179,Barrett 5179,0,1,0,0,0,1
Schoenus racemosus,racemosus-B5189,Barrett 5189,0,1,0,0,0,1
Schoenus racemosus,racemosus-B5434,Barrett 5434,0,1,0,0,0,1
Schoenus racemosus,racemosus-B5476,Barrett 5476,0,1,0,0,0,1
Schoenus rigens,rigens-B5234,Barrett 5234,1,0,0,0,1,2
Schoenus rigens,rigens-B5234A,Barrett 5234A,0,1,0,0,0,1
Schoenus rigens,rigens-B5767,Barrett 5767,0,1,0,0,0,1
Schoenus rigens,rigens-CANB583395,CANB583395,0,1,0,0,0,1
Schoenus scabripes,scabripes-KW7935,Wilson 7935,0,1,0,0,0,1
Schoenus sculptus,sculptus-B5287,Barrett 5287,0,1,0,0,0,1
Schoenus sculptus,sculptus-B5406,Barrett 5406,0,1,0,0,0,1
Schoenus selinae,selinae-258,TE2016_258,0,0,1,0,0,1
Schoenus selinae,selinae-287,TE2016_287,0,0,1,1,0,2
Schoenus selinae,selinae-289,TE2016_289,0,0,1,0,0,1
Schoenus selinae,selinae-300,TE2016_300,0,0,1,0,1,2
Schoenus selinae,selinae-301,TE2016_301,0,0,1,0,0,1
Schoenus selinae,selinae-mn01,MN 01,0,0,0,1,0,1
Schoenus sesquispiculus,sesquispiculus-B5401,Barrett 5401,0,1,0,0,0,1
Schoenus sparteus,sparteus-KW9691,Wilson 9691,0,0,0,0,1,1
Schoenus sparteus,sparteus-MUS541,Musili 541,0,1,0,0,0,1
Schoenus subaphyllus,subaphyllus-B5137,Barrett 5137,0,1,0,0,0,1
Schoenus subaphyllus,subaphyllus-G114,Gibbs 114,0,1,0,0,0,1
Schoenus subfascicularis,subfascicularis-B5236,Barrett 5236,0,1,0,0,0,1
Schoenus subflavus,subflavus-B5409,Barrett 5409,0,1,0,0,0,1
Schoenus subflavus,subflavus-B5858,Barrett 5858,0,1,0,0,0,1
Schoenus subflavus,subflavus-B5900,Barrett 5900,0,1,0,0,0,1
Schoenus sublateralis,sublateralis-B5331,Barrett 5331,0,1,0,0,0,1
Schoenus sublateralis,sublateralis-B5343,Barrett 5343,0,1,0,0,0,1
Schoenus sublaxus,sublaxus-KW9016,Wilson 9016,0,1,0,0,0,1
Schoenus submarginalis,submarginalis-335,TE2016_335,0,0,0,1,0,1
Schoenus submicrostachyus,submicrostachyus-B4280,Barrett 4280,0,1,0,0,0,1
Schoenus tendo,tendo-AK294548,AK294548,0,1,0,0,0,1
Schoenus tendo var. triander,tendo-BR3252,Bruhl 3252,1,0,0,0,1,2
Schoenus tenellus,tenellus-B5309,Barrett 5309,0,1,0,0,0,1
Schoenus tenellus,tenellus-B5312,Barrett 5312,0,1,0,0,0,1
Schoenus thedae,thedae-B1578,Barrett & Barrett MDB 1578,0,0,0,0,1,1
Schoenus triticoides,triticoides-279,TE2016_279,1,0,1,0,1,3
Schoenus triticoides,triticoides-281,TE2016_281,1,0,1,0,0,2
Schoenus turbinatus,turbinatus-G80A,Gibbs 80A,0,1,0,0,0,1
Schoenus turbinatus,turbinatus-LM35,McLaughlin 35 & Wilson,0,0,0,0,1,1
Schoenus unispiculatus,unispiculatus-B5295,Barrett 5295,0,1,0,0,0,1
Schoenus vaginatus,vaginatus-BR2751,Bruhl 2751,0,1,0,0,0,1
Schoenus variicellae,variicellae-B5872,Barrett 5872,0,1,0,0,0,1
Schoenus yarrabensis,yarrabensis-MOR275,Thompson MOR275 (BRI AQ 570842),0,1,0,0,0,1
